full_name,language,stars,size_kb,default_branch,markers,adoption_date,adoption_signal,adoption_detail,total_ai_events,pre_months,post_months,total_commits,avg_commits_per_month,first_commit,last_commit,window_valid
Angular2Guy/MovieManager,Java,35,5305,master,copilot,2025-07-07T19:14:11+02:00,file_add,file_add:.github/copilot-instructions.md,1,88,8,751,10.01,2018-03-21T15:39:03+01:00,2026-03-05T21:37:17+01:00,True
BBMRI-ERIC/negotiator,Java,32,18206,master,copilot,2025-04-01T11:57:16+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,22,56,11,3942,80.45,2020-08-19T13:54:03+02:00,2026-03-06T09:19:17+01:00,True
TimefoldAI/timefold-solver,Java,1589,271112,main,copilot,2025-08-12T08:24:46+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,4,236,7,10287,45.92,2005-12-05T22:42:19+00:00,2026-03-09T06:50:32+01:00,True
akto-api-security/akto,Java,1455,351534,master,cursor,2025-06-03T17:06:34+05:30,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,30,29,9,11287,289.41,2023-01-12T14:04:28+05:30,2026-03-09T16:48:50+05:30,True
apache/gravitino,Java,2900,82304,main,copilot,2025-06-24T14:06:34+08:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,42,26,9,3568,99.11,2023-04-23T10:09:00+08:00,2026-03-09T20:09:42+09:00,True
axonivy-market/portal,Java,12,112381,master,copilot,2025-05-09T11:32:09+07:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,6,100,10,12737,114.75,2017-01-24T04:23:09+00:00,2026-03-06T18:27:03+07:00,True
cygnusx-1-org/Slide,Java,180,138047,master,cursor,2025-03-01T23:43:13-07:00,file_add,file_add:.cursorrules,7,113,12,4841,53.79,2015-10-01T18:22:27-05:00,2026-03-06T18:45:01-07:00,True
dadoonet/fscrawler,Java,1434,23892,master,cursor,2025-09-05T08:37:00+00:00,file_add,file_add:.github/copilot-instructions.md,4,159,6,3930,28.27,2012-06-08T19:14:45+02:00,2026-03-09T06:16:36+00:00,True
devonfw/IDEasy,Java,34,9340,main,copilot,2025-07-22T15:38:20+02:00,file_add,file_add:.github/copilot-instructions.md,1,22,8,1108,35.74,2023-09-15T16:02:12+02:00,2026-03-09T11:35:38+01:00,True
dromara/skyeye,Java,1156,222963,company_server,cursor,2025-12-24T08:44:47+08:00,file_add,file_add:.cursor/rules/,1,75,3,3772,49.63,2019-09-08T15:46:41+08:00,2026-03-09T09:04:32+08:00,True
