repo_name,contaminated,first_ai_month,marker_type,details
TerraFirmaGreg-Team/Core-Modern,no,,,
anboralabs/ks-explorer,no,,,
cmu-sei/kaiju,no,,,
BenCodez/AdvancedCore,no,,,
ttoklip/BackEnd,no,,,
ReVanced/revanced-patches,no,,,
redis/redis-om-spring,no,,,
apache/iotdb,yes,window,commit_pattern,[window] commit_pattern: b6fea634d619: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
SonarSource/sonar-php,yes,window,commit_pattern,[window] commit_pattern: 8a92c0b036c7: Co-authored-by: Claude Sonnet 4.6 <noreply@anthropic.com>; [window] commit_pattern: 3587825ecac5: Co-authored-by: Claude Sonnet 4.6 <noreply@anthropic.com>; [window] commit_pattern: b788a8519b19: Co-authored-by: Claude Sonnet 4.6 <noreply@anthropic.com>; [window] commit_pattern: 05bbef29948c: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>; [window] commit_pattern: 36e4f9a58aa7: Co-authored-by: Claude <noreply@anthropic.com>; ... and 1 more
wultra/powerauth-server,no,,,
ACGaming/UniversalTweaks,no,,,
yellowstonegames/SquidSquad,no,,,
cinit/QAuxiliary,no,,,
lukas-krecan/JsonUnit,no,,,
guardtime/ksi-java-sdk,no,,,
spring-projects/spring-integration,no,,,
SEMOSS/Semoss,unknown,,,not in panel
SonarSource/sonar-java,no,,,
reactor/reactor-core,no,,,
Gubaer/josm-scripting-plugin,no,,,
itinycheng/flink-platform-backend,no,,,
SonarSource/sonar-xml,yes,window,commit_pattern,[window] commit_pattern: f34f493e5e15: Co-authored-by: Claude Opus 4.6 <noreply@anthropic.com>; [window] commit_pattern: 77226e41e63b: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
dougdonohoe/ddpoker,no,,,
clerk/clerk-sdk-java,no,,,
standard-webhooks/standard-webhooks,no,,,
cryostatio/cryostat,no,,,
wildfly/wildfly,unknown,,,not in panel
GoogleCloudPlatform/spring-cloud-gcp,no,,,
GoogleCloudPlatform/jit-groups,no,,,
kestra-io/plugin-jdbc,no,,,
rabbitmq/rabbitmq-stream-java-client,no,,,
junrar/junrar,no,,,
USACE/cwms-data-api,no,,,
datageartech/datagear,no,,,
debezium/debezium,no,,,
seed4j/seed4j,no,,,
yuzawa-san/onnxruntime-java,no,,,
spannm/ucanaccess,no,,,
MikhailSterkhov/bridgenet,no,,,
wildmountainfarms/solarthing,no,,,
apache/polaris,no,,,
qm123pz/NightSky-Client,no,,,
kroxylicious/kroxylicious,yes,window,commit_pattern,[window] commit_pattern: 43e532621adf: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
risin42/NagramX,unknown,,,not in panel
PANTHEONtech/lighty,no,,,
jonesdevelopment/sonar,no,,,
nikhilmusale70/DSA,no,,,
MCreator/MCreator,no,,,
smartboot/smart-mqtt,no,,,
tensorflow/java,no,,,
MoonWorm/jsonapi4j,no,,,
jjazzboss/JJazzLab,no,,,
dhis2/dhis2-core,yes,window,commit_pattern,[window] commit_pattern: c8aaab1b94e8: Co-authored-by: Claude Sonnet 4.6 <noreply@anthropic.com>; [window] commit_pattern: 807b6ec17991: Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>; [window] commit_pattern: 65ceec874eb0: Co-authored-by: Copilot Autofix powered by AI <62310815+github-advanced-security[bot]@users.noreply.github.com>
micronaut-projects/micronaut-core,no,,,
dic1911/Momogram,unknown,,,not in panel
Spazzinq/FlightControl,no,,,
LineageOS/android_packages_apps_DocumentsUI,no,,,
maxmind/MaxMind-DB-Reader-java,no,,,
exadel-inc/etoolbox-rollout-manager,no,,,
netfishers-onl/Netshot,no,,,
dasi0227/Agent,no,,,
jacoco/jacoco,no,,,
swift-lang/swift-t,no,,,
spockframework/spock,no,,,
pac4j/pac4j,no,,,
omnifaces/omnifaces,yes,2025-09,config_file,[2025-09] config_file: CLAUDE.md; [2025-10] config_file: CLAUDE.md; [2025-11] config_file: CLAUDE.md; [2025-12] config_file: CLAUDE.md
protomaps/basemaps,no,,,
powsybl/powsybl-open-rao,no,,,
onixary/shape-shifter-curse-fabric,no,,,
google/caliper,no,,,
mzmine/mzmine,unknown,,,not in panel
eclipse-tractusx/tractusx-edc,no,,,
internetarchive/heritrix3,no,,,
atlassian/data-center-helm-charts,no,,,
SmartTools/smartactors-core,no,,,
linkedin/rest.li,yes,window,commit_pattern,[window] commit_pattern: 0d47f2ca783f: Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>; [window] commit_pattern: f53250a575a9: Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>
averbraeck/opentrafficsim,no,,,
lakernote/EasyPostman,no,,,
micrometer-metrics/micrometer,no,,,
AutoMQ/automq,yes,window,commit_pattern,[window] commit_pattern: 48446d941c31: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>; [window] commit_pattern: 5a8aaaab8aa8: Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
sekelsta/horse-colors,no,,,
opensearch-project/flow-framework,no,,,
Hydraheads/RoundaboutMod,no,,,
micronaut-projects/micronaut-elasticsearch,no,,,
fanruan/intelli-swift-core,no,,,
fantahund/VoxelMap,no,,,
koupleless/runtime,no,,,
oshi/oshi,no,,,
css4j/css4j,no,,,
ManaZeak/ManaZeak,no,,,
