repo_name,dir_name,month,ce_mean,ca_mean,instability_mean,distance_mean,modularity_q
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-01,0.8943,0.8943,0.8623,0.2669,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-02,0.899,0.899,0.8617,0.2688,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-03,0.9053,0.9053,0.8596,0.2688,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-04,0.9013,0.9013,0.8533,0.2738,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-05,0.8957,0.8957,0.849,0.2755,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-06,0.8957,0.8957,0.849,0.2755,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-07,0.8891,0.8891,0.8474,0.2775,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-08,0.8847,0.8847,0.8479,0.2787,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-09,0.9352,0.9352,0.8284,0.2988,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-10,0.9354,0.9354,0.8285,0.2992,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-11,0.9108,0.9108,0.8171,0.297,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-12,0.9097,0.9097,0.8165,0.3004,nan
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2026-01,0.876,0.876,0.7953,0.285,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-01,1.6429,1.6429,0.6286,0.3811,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-02,1.6429,1.6429,0.6286,0.3811,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-03,1.6429,1.6429,0.6286,0.3811,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-04,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-05,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-06,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-07,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-08,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-09,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-10,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-11,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-12,1.6429,1.6429,0.6299,0.3816,nan
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2026-01,1.6429,1.6429,0.6299,0.3816,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-04,7.5088,7.5088,0.706,0.2288,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-05,7.5351,7.5351,0.7058,0.2293,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-06,7.5351,7.5351,0.7058,0.2293,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-07,7.5351,7.5351,0.7058,0.2293,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-08,7.5351,7.5351,0.7057,0.2293,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-09,7.5351,7.5351,0.7057,0.2294,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-10,7.5439,7.5439,0.7056,0.2296,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-11,7.5526,7.5526,0.7053,0.2297,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-12,7.8879,7.8879,0.6979,0.2353,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2025-01,7.8991,7.8991,0.7032,0.2364,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2025-02,7.9358,7.9358,0.7036,0.2364,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2025-03,7.9633,7.9633,0.7036,0.237,nan
ArcadeData/arcadedb,ArcadeData__arcadedb,2025-04,7.708,7.708,0.7048,0.238,nan
AutoMQ/automq,AutoMQ__automq,2025-05,8.519,8.519,0.6059,0.3212,nan
AutoMQ/automq,AutoMQ__automq,2025-07,8.375,8.375,0.6082,0.3194,nan
AutoMQ/automq,AutoMQ__automq,2025-08,8.3772,8.3772,0.6082,0.3195,nan
AutoMQ/automq,AutoMQ__automq,2025-12,8.3384,8.3384,0.5982,0.3248,nan
AutoMQ/automq,AutoMQ__automq,2026-01,8.347,8.347,0.598,0.325,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2024-10,6.4828,6.4828,0.6464,0.2512,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2024-11,6.6721,6.6721,0.646,0.2556,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2024-12,6.8421,6.8421,0.6186,0.2772,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-01,6.8421,6.8421,0.6166,0.2788,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-02,6.8793,6.8793,0.6124,0.2788,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-03,6.9655,6.9655,0.613,0.2791,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-04,7.069,7.069,0.6133,0.2799,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-05,6.8852,6.8852,0.614,0.2795,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-06,6.9194,6.9194,0.6221,0.2728,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-07,6.75,6.75,0.6156,0.2687,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-08,6.5574,6.5574,0.621,0.2648,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-09,6.4167,6.4167,0.581,0.309,nan
BBMRI-ERIC/negotiator,BBMRI-ERIC__negotiator,2025-10,6.5,6.5,0.581,0.3077,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-02,3.4143,3.4143,0.4717,0.4704,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-03,3.4648,3.4648,0.4675,0.4661,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-04,3.4648,3.4648,0.4675,0.4661,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-05,3.507,3.507,0.4658,0.4678,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-06,3.4915,3.4915,0.4891,0.4447,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-07,3.4915,3.4915,0.4889,0.4449,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-08,3.4915,3.4915,0.4889,0.4449,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-09,3.4915,3.4915,0.4889,0.4449,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-10,3.4915,3.4915,0.4889,0.4449,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-11,3.5254,3.5254,0.5024,0.4315,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2025-12,3.5254,3.5254,0.5024,0.4315,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2026-01,3.5345,3.5345,0.5052,0.4275,nan
BenCodez/AdvancedCore,BenCodez__AdvancedCore,2026-02,3.5085,3.5085,0.5021,0.4326,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-05,8.6797,8.6797,0.6618,0.3046,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-06,8.7128,8.7128,0.6612,0.3038,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-07,8.7714,8.7714,0.6593,0.3026,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-08,8.9359,8.9359,0.6557,0.3009,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-09,8.9378,8.9378,0.6553,0.3014,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-10,8.9515,8.9515,0.6552,0.3014,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-11,8.9312,8.9312,0.657,0.3007,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2025-12,8.7932,8.7932,0.6564,0.3016,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2026-01,8.7862,8.7862,0.6546,0.3023,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2026-02,8.7839,8.7839,0.6546,0.3025,nan
DIGI-UW/OpenELIS-Global-2,DIGI-UW__OpenELIS-Global-2,2026-03,8.7534,8.7534,0.6542,0.3023,nan
