repo_name,dir_name,month,cd_count,ud_count,hl_count,gc_count,total_smells,num_packages,loc,kloc
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-01,29,3,1,0,33,615,18363,18.363
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-02,30,3,1,0,34,624,18721,18.721
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-03,32,3,1,0,36,623,18970,18.97
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-04,32,3,1,0,36,638,19554,19.554
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-05,32,3,0,0,35,652,19700,19.7
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-06,32,3,0,0,35,652,19702,19.702
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-07,32,3,0,0,35,658,19782,19.782
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-08,33,3,0,0,36,659,19543,19.543
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-09,35,3,0,0,38,664,19942,19.942
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-10,35,3,0,0,38,666,19984,19.984
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-11,35,3,0,0,38,706,20949,20.949
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2025-12,35,3,0,0,38,709,21232,21.232
ACGaming/UniversalTweaks,ACGaming__UniversalTweaks,2026-01,35,3,0,0,38,766,22417,22.417
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-01,0,0,0,0,0,28,4104,4.104
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-02,0,0,0,0,0,28,4133,4.133
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-03,0,0,0,0,0,28,4127,4.127
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-04,0,0,0,0,0,28,4232,4.232
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-05,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-06,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-07,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-08,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-09,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-10,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-11,0,0,0,0,0,28,4259,4.259
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2025-12,0,0,0,0,0,28,4257,4.257
Angular2Guy/MovieManager,Angular2Guy__MovieManager,2026-01,0,0,0,0,0,28,4257,4.257
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-04,212,4,4,2,222,114,117260,117.26
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-05,212,4,4,2,222,114,117855,117.855
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-06,212,4,4,2,222,114,117913,117.913
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-07,212,4,4,2,222,114,117959,117.959
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-08,212,4,4,2,222,114,118148,118.148
ArcadeData/arcadedb,ArcadeData__arcadedb,2024-09,212,4,4,2,222,114,118311,118.311
