treatment_repo,control_repo,ps_treatment,ps_control,distance,smd_stars,smd_size_kb,smd_forks,smd_num_commits,smd_num_contributors,smd_repo_age_months
devonfw/IDEasy,TerraFirmaGreg-Team/Core-Modern,0.177124,0.187325,0.441305,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
TrueLayer/truelayer-java,anboralabs/ks-explorer,0.102195,0.113060,0.457470,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
kousen/java_latest,cmu-sei/kaiju,0.092848,0.092562,0.561684,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
phax/ph-commons,BenCodez/AdvancedCore,0.158503,0.167864,0.546056,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
4Soft-de/harness-model,ttoklip/BackEnd,0.226188,0.224582,0.655163,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
alibaba/spring-ai-alibaba,ReVanced/revanced-patches,0.241162,0.262908,0.942312,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
deltazefiro/Amarok-Hider,redis/redis-om-spring,0.141429,0.147772,0.871327,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
openrewrite/rewrite,apache/iotdb,0.252722,0.252286,0.730987,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
Haehnchen/idea-php-symfony2-plugin,SonarSource/sonar-php,0.129840,0.115595,0.509899,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
eclipse-lyo/lyo,wultra/powerauth-server,0.151494,0.166219,0.587750,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
tcheeric/nostr-java,ACGaming/UniversalTweaks,0.198444,0.179165,0.458975,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
ctrl-space-labs/gendox-core,yellowstonegames/SquidSquad,0.241023,0.255128,1.145022,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
lilishop/lilishop,cinit/QAuxiliary,0.192153,0.203300,0.824012,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
xerial/snappy-java,lukas-krecan/JsonUnit,0.090111,0.094448,0.987365,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
JWebMP/Core,guardtime/ksi-java-sdk,0.124402,0.129204,1.128781,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
AxonFramework/AxonFramework,spring-projects/spring-integration,0.163196,0.145938,0.497885,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
Servoy/servoy-client,SEMOSS/Semoss,0.251806,0.252482,1.010991,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
apache/struts,SonarSource/sonar-java,0.163679,0.156000,0.344454,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
graphql-java/graphql-java,reactor/reactor-core,0.146533,0.154608,0.885839,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
nyetwurk/ecuxplot,Gubaer/josm-scripting-plugin,0.095800,0.101012,0.732718,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
qlangtech/plugins,itinycheng/flink-platform-backend,0.154142,0.160923,0.560911,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
pablo67340/GUIShop,SonarSource/sonar-xml,0.067165,0.068177,0.691461,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
salesforce/multicloudj,dougdonohoe/ddpoker,0.150852,0.144780,0.604133,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
baretto-labs/OllamAssist,clerk/clerk-sdk-java,0.119269,0.118416,0.372173,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
caoccao/Javet,standard-webhooks/standard-webhooks,0.091056,0.093034,1.450476,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
IstiN/dmtools,cryostatio/cryostat,0.202572,0.195433,0.197521,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
opentripplanner/OpenTripPlanner,wildfly/wildfly,0.192091,0.195225,0.499732,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
oraxen/oraxen,GoogleCloudPlatform/spring-cloud-gcp,0.180104,0.189377,0.475270,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
bloxbean/cardano-client-lib,GoogleCloudPlatform/jit-groups,0.157092,0.143898,0.557059,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
remsfal/remsfal-backend,kestra-io/plugin-jdbc,0.130171,0.126661,1.017316,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
HDFGroup/hdfview,rabbitmq/rabbitmq-stream-java-client,0.216123,0.229334,0.578258,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
orphan-oss/ognl,junrar/junrar,0.069874,0.067962,0.792566,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
BBMRI-ERIC/negotiator,USACE/cwms-data-api,0.228603,0.209994,0.535457,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
dromara/skyeye,datageartech/datagear,0.216273,0.228477,0.428469,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
freeplane/freeplane,debezium/debezium,0.179613,0.185754,1.533123,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
OpenFeign/querydsl,seed4j/seed4j,0.324586,0.353111,1.273309,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
