repo_id,repo_name,month,month_id,is_treatment,first_treat_month,post,time_to_event,cd_count,ud_count,hl_count,gc_count,total_smells,num_packages,loc,kloc,asd,cd_density,ud_density,hl_density,gc_density,ce_mean,ca_mean,instability_mean,distance_mean,modularity_q,monthly_commits,monthly_contributors,stars,repo_age_months,tool_type,adoption_signal,total_ai_events
1,devonfw/IDEasy,2025-01,24301,1,2025-07,0,-6,255.0,4.0,9.0,0.0,268.0,78.0,15274.0,15.274,17.546157,16.695037,0.261883,0.589237,0.0,6.7179,6.7179,0.6184,0.3074,,64,13,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-02,24302,1,2025-07,0,-5,289.0,3.0,7.0,0.0,299.0,78.0,16390.0,16.39,18.242831,17.632703,0.183038,0.42709,0.0,6.9359,6.9359,0.6221,0.3032,,53,10,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-03,24303,1,2025-07,0,-4,565.0,4.0,9.0,0.0,578.0,80.0,17622.0,17.622,32.799909,32.062195,0.226989,0.510725,0.0,7.0125,7.0125,0.6256,0.2997,,57,13,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-04,24304,1,2025-07,0,-3,419.0,2.0,8.0,0.0,429.0,109.0,18046.0,18.046,23.772581,23.218442,0.110828,0.443312,0.0,5.2844,5.2844,0.6681,0.2744,,44,11,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-05,24305,1,2025-07,0,-2,453.0,2.0,9.0,0.0,464.0,111.0,18531.0,18.531,25.039124,24.445524,0.107927,0.485673,0.0,5.3423,5.3423,0.6679,0.2752,,34,11,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-06,24306,1,2025-07,0,-1,451.0,1.0,8.0,0.0,460.0,111.0,18990.0,18.99,24.223275,23.749342,0.052659,0.421274,0.0,5.3874,5.3874,0.6668,0.2761,,38,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-07,24307,1,2025-07,1,0,416.0,2.0,5.0,0.0,423.0,111.0,19435.0,19.435,21.764857,21.404682,0.102907,0.257268,0.0,5.4595,5.4595,0.6662,0.276,,15,6,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-08,24308,1,2025-07,1,1,421.0,1.0,5.0,0.0,427.0,111.0,19574.0,19.574,21.814652,21.508123,0.051088,0.255441,0.0,5.4775,5.4775,0.6662,0.2758,,23,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-09,24309,1,2025-07,1,2,440.0,4.0,12.0,0.0,456.0,118.0,20862.0,20.862,21.857923,21.090979,0.191736,0.575209,0.0,5.4322,5.4322,0.6847,0.2514,,32,4,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-10,24310,1,2025-07,1,3,471.0,4.0,10.0,0.0,485.0,121.0,21463.0,21.463,22.597027,21.944742,0.186367,0.465918,0.0,5.4793,5.4793,0.6796,0.2575,,27,5,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-11,24311,1,2025-07,1,4,483.0,3.0,11.0,0.0,497.0,124.0,21804.0,21.804,22.793983,22.151899,0.137589,0.504495,0.0,5.4919,5.4919,0.6815,0.256,,41,6,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-12,24312,1,2025-07,1,5,495.0,3.0,6.0,0.0,504.0,125.0,22848.0,22.848,22.058824,21.664916,0.131303,0.262605,0.0,5.464,5.464,0.6812,0.2562,,29,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2026-01,24313,1,2025-07,1,6,535.0,4.0,7.0,0.0,546.0,126.0,23656.0,23.656,23.080825,22.615827,0.16909,0.295908,0.0,5.6111,5.6111,0.679,0.2576,,43,8,34,30,copilot,file_add,1
2,TerraFirmaGreg-Team/Core-Modern,2025-01,24301,0,2025-07,0,-6,9.0,0.0,1.0,0.0,10.0,37.0,2795.0,2.795,3.577818,3.220036,0.0,0.357782,0.0,1.0541,1.0541,0.5025,0.4029,,3,2,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-02,24302,0,2025-07,0,-5,9.0,0.0,1.0,0.0,10.0,37.0,2795.0,2.795,3.577818,3.220036,0.0,0.357782,0.0,1.0541,1.0541,0.5025,0.4029,,4,3,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-03,24303,0,2025-07,0,-4,9.0,0.0,1.0,0.0,10.0,37.0,2734.0,2.734,3.657644,3.29188,0.0,0.365764,0.0,1.0541,1.0541,0.5025,0.4029,,0,0,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-04,24304,0,2025-07,0,-3,9.0,0.0,1.0,0.0,10.0,37.0,2734.0,2.734,3.657644,3.29188,0.0,0.365764,0.0,1.0541,1.0541,0.5025,0.4029,,58,7,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-05,24305,0,2025-07,0,-2,11.0,0.0,2.0,0.0,13.0,41.0,2658.0,2.658,4.890895,4.13845,0.0,0.752445,0.0,1.2195,1.2195,0.4907,0.5215,,61,9,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-06,24306,0,2025-07,0,-1,9.0,0.0,2.0,0.0,11.0,42.0,2808.0,2.808,3.917379,3.205128,0.0,0.712251,0.0,1.2381,1.2381,0.487,0.5103,,120,9,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-07,24307,0,2025-07,1,0,16.0,1.0,3.0,0.0,20.0,57.0,5590.0,5.59,3.577818,2.862254,0.178891,0.536673,0.0,1.4737,1.4737,0.4919,0.4843,,124,8,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-08,24308,0,2025-07,1,1,20.0,0.0,6.0,0.0,26.0,59.0,6624.0,6.624,3.925121,3.019324,0.0,0.905797,0.0,1.5763,1.5763,0.4862,0.489,,135,9,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-09,24309,0,2025-07,1,2,73.0,1.0,5.0,0.0,79.0,77.0,10453.0,10.453,7.557639,6.983641,0.095666,0.478332,0.0,2.1429,2.1429,0.5157,0.4753,,128,11,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-10,24310,0,2025-07,1,3,33.0,1.0,5.0,0.0,39.0,79.0,12741.0,12.741,3.060984,2.590064,0.078487,0.392434,0.0,2.038,2.038,0.5304,0.486,,80,7,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-11,24311,0,2025-07,1,4,41.0,1.0,3.0,0.0,45.0,82.0,14477.0,14.477,3.108379,2.832078,0.069075,0.207225,0.0,2.1585,2.1585,0.5448,0.4744,,28,8,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-12,24312,0,2025-07,1,5,41.0,3.0,3.0,0.0,47.0,88.0,15500.0,15.5,3.032258,2.645161,0.193548,0.193548,0.0,2.3523,2.3523,0.5523,0.4644,,79,8,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2026-01,24313,0,2025-07,1,6,44.0,1.0,3.0,0.0,48.0,88.0,16845.0,16.845,2.84951,2.612051,0.059365,0.178094,0.0,2.1705,2.1705,0.5591,0.4698,,97,8,20,32,control,,0
