full_name,treated,stars,size_kb,forks,num_commits,num_contributors,repo_age_months
17666555910/SpringBoot-Elasticsearch-Demo,0,20,50,7,16,4,73
4Soft-de/harness-model,1,9,14047,0,1800,19,45
ACGaming/UniversalTweaks,0,169,3508,47,1473,36,41
AJD-Archive/Kkeujeok_Backend,0,20,921,4,444,5,20
Ahoo-Wang/CosId,0,609,11366,84,1385,14,57
AidanPark/openclaw-android,0,445,9451,69,124,1,1
AlexProgrammerDE/SoulFire,1,488,26502,53,4314,20,56
Alfresco/acs-packaging,0,28,66080,35,7100,213,95
Alfresco/alfresco-community-repo,0,206,400626,102,39186,187,68
AllayMC/Allay,0,317,108010,32,3477,20,36
AndroidAppFactory/AndroidAppFactory,0,94,109463,24,3050,1,76
Angular2Guy/MovieManager,1,35,5305,24,751,3,96
Anvil-Dev/AnvilCraft,0,232,27780,63,6490,49,25
ArcadeData/arcadedb,1,729,45496,94,5320,49,55
AutoMQ/automq,0,9581,169102,667,15238,351,31
Avicus/AvicusNetwork,0,20,1159,10,45,5,98
AvinashDogiparthi/LowLevelDesign,0,20,876,10,154,3,12
AxonFramework/AxonFramework,1,3558,76605,832,16455,281,171
Azure/azure-iot-sdk-java,0,206,75705,234,1845,81,113
BBMRI-ERIC/negotiator,1,32,18206,11,3942,22,67
Balakumarmd/Java,0,20,6,0,1,1,24
BaseXdb/basex,0,748,129126,273,15156,61,181
BenCodez/AdvancedCore,0,60,41312,25,2969,12,115
Bernardo-MG/dice-notation-java,0,20,2218,2,1046,6,132
BiglySoftware/BiglyBT,0,1854,161844,162,5638,24,104
Blazemeter/RTEPlugin,0,20,44394,13,41,9,93
Blockchain-Powered-eSIM/eSIM-Wallet,0,20,1702,5,183,4,24
BoiseState/CS321-resources,0,19,253648,56,477,6,55
CArtAgO-lang/cartago,0,19,4307,12,147,6,111
CMSgov/dpc-app,0,49,58822,18,2402,76,85
Card-Forge/forge,0,2220,998170,867,73053,229,47
CleanroomMC/ForgeDevEnv,0,171,166,66,64,7,50
CodeAvecAsnit/DSA,0,19,72,0,13,2,26
CodeDead/Advanced-PortChecker-android,0,20,1758,4,67,3,94
ComittoNxA/ComittoNxX,0,20,2194,5,64,3,19
CongRongWeb/houserent-publicNo.6,0,20,5624,0,4,1,7
ContextMapper/context-mapper-cli,0,20,160,7,36,7,65
ConvertAPI/convertapi-library-java,0,20,2275,13,228,10,94
Crazy-Crew/CrazyAuctions,0,114,2365,71,593,17,117
CycriLabs/keycloak-configurator,0,20,272,6,200,8,31
DIGI-UW/OpenELIS-Global-2,1,205,239953,510,9069,118,86
DJ-Raven/swing-modal-dialog,0,144,4777,27,438,6,21
DataSQRL/flink-sql-runner,1,28,20167,2,496,8,17
DerDavidBohl/dirigent-spring,0,54,1041,0,409,4,14
Diesel-Chen/HotelManagement,0,20,3104,3,7,2,68
DimaOanaTeodora/Uni-Work-2022-2024,0,20,167455,1,58,1,44
Earth-1610/spring-demo,0,19,185,25,84,5,82
Engineering-Research-and-Development/dsp-true-connector,1,5,7079,3,205,7,24
EssentialsX/Essentials,0,2215,409324,1072,6652,275,131
EtienneAb3d/OpenNeuroSpell,0,20,773,2,61,2,82
FENGZHIJIE1998/Auth-demo,0,19,72,8,9,1,71
Fallen-Breath/LetMeClickAndSend,0,20,612,3,33,2,41
FalseMSP/SoundPhysicsPerfected,0,41,23536,3,193,5,9
FancyInnovations/FancyPlugins,0,67,61758,56,815,23,12
FasterXML/jackson-core,0,2353,27528,831,5032,111,171
FearlessPeople/GOF23,0,20,4344,10,15,2,121
Fernanda-Kipper/ai-assistant-java,0,20,498,2,3,1,23
FloridSleeves/RobustAPI,0,20,58302,4,13,1,28
FroMage/quarkus-renarde-todo,0,20,206,14,40,4,52
GTNewHorizons/Angelica,0,376,7151,110,674,78,43
GTNewHorizons/waila,0,20,2915,21,605,45,72
GdeiAssistant/GdeiAssistant-Android,0,20,1698,10,43,2,86
GerritCodeReview/gerrit,0,1153,693751,263,66322,312,123
GoldenStack/trove,0,19,1143,6,495,4,54
GoogleCloudPlatform/DataflowTemplates,0,1275,36602,1074,5427,201,97
GoogleCloudPlatform/cloud-build-samples,0,203,1031,1173,442,23,60
GoogleCloudPlatform/guacamole-on-gcp,0,19,57,7,28,4,37
GoogleCloudPlatform/jit-groups,0,284,10069,49,609,10,49
GoogleCloudPlatform/spring-cloud-gcp,0,519,50870,346,3146,125,71
GregTech6/gregtech6,0,229,27088,65,3880,11,74
Gubaer/josm-scripting-plugin,0,31,19931,10,1821,14,179
HDFGroup/hdfview,1,130,343944,24,1760,18,61
HaHarden/CPGPractise,0,20,22,1,7,2,24
Haehnchen/idea-php-symfony2-plugin,1,928,15936,141,3847,65,155
Harishwaran2002/String,0,20,1,0,1,1,20
HarvardPL/formulog,0,169,3103,10,850,5,83
Hazem-Ben-Khalfallah/scrum-poker-planning,0,19,31643,17,238,5,110
HefnySco/andruav_android_app,0,19,54000,10,170,5,53
HubSpot/algebra,0,20,188,6,154,23,96
HubSpot/httpQL,0,20,349,14,215,25,121
Hydraheads/RoundaboutMod,0,34,111267,25,4774,18,31
I2PPlus/i2pplus,0,83,537847,17,30531,20,68
IDSIA/credici,0,20,1033846,2,137,3,69
ITsMrToad/PalladiumMod,0,20,326,7,136,7,19
Invictum/serenity-reportportal-integration,0,20,407,19,227,9,99
IstiN/dmtools,1,34,9702,15,1405,13,31
JMRI/JMRI,0,284,3126613,354,88066,131,126
JWebMP/Core,1,5,101773,1,615,9,112
JanYork/ddd-tmp,0,19,68,1,7,1,25
JetBrains/JetBrainsRuntime,0,1840,1236253,256,89214,199,90
