ICC log_asd: 0.9788
Naive DiD from 2x2 means: 0.1572 (17.0%)
RQ1 Borusyak ATT: beta=-0.0698, SE=0.0239, 95%CI=[-0.1167, -0.0230], p=0.0035, effect=-6.7%, N=1811 obs (151 repos) 
RQ1 TWFE-SA ATT: beta=-0.0681, SE=0.0238, 95%CI=[-0.1148, -0.0214], p=0.0049, effect=-6.6%, N=1811 obs (151 repos) 
RQ1 TWFE-SA+cov ATT: beta=-0.0684, SE=0.0236, 95%CI=[-0.1147, -0.0221], p=0.0044, effect=-6.6%, N=1811 obs (151 repos) 
Supp raw smells ATT: beta=0.0108, SE=0.0486, 95%CI=[-0.0845, 0.1061], p=0.8246, effect=1.1%, N=1811 obs (151 repos) 
Supp raw CD count ATT: beta=0.0312, SE=0.0489, 95%CI=[-0.0646, 0.1270], p=0.5230, effect=3.2%, N=1811 obs (151 repos) 
Supp raw UD count ATT: beta=0.0565, SE=0.0263, 95%CI=[0.0049, 0.1081], p=0.0319, effect=5.8%, N=1811 obs (151 repos) 
Supp raw HL count ATT: beta=-0.0479, SE=0.0445, 95%CI=[-0.1351, 0.0393], p=0.2819, effect=-4.7%, N=1811 obs (151 repos) 
Supp raw GC count ATT: beta=-0.0013, SE=0.0178, 95%CI=[-0.0362, 0.0337], p=0.9437, effect=-0.1%, N=1811 obs (151 repos) 
Supp LOC growth ATT: beta=0.1201, SE=0.0401, 95%CI=[0.0415, 0.1986], p=0.0027, effect=12.8%, N=1811 obs (151 repos) 
Supp wild bootstrap ATT: beta=-0.0615, SE=0.0249, 95%CI=[-0.1098, -0.0129], p=0.0097, effect=-6.0%, N=1811 obs (151 repos) 
Supp Lee UPPER (pessimistic): beta=-0.0229, SE=0.0195, 95%CI=[-0.0611, 0.0152], p=0.2387, effect=-2.3%, N=1720 obs (144 repos) 
Supp Lee LOWER (optimistic): beta=-0.1046, SE=0.0192, 95%CI=[-0.1422, -0.0671], p=0.0000, effect=-9.9%, N=1743 obs (144 repos) 
Supp active-only (≥3, N=94): beta=-0.0413, SE=0.0339, 95%CI=[-0.1078, 0.0252], p=0.2234, effect=-4.0%, N=1105 obs (94 repos) 
Supp active-only (≥6, N=128): beta=-0.0556, SE=0.0251, 95%CI=[-0.1048, -0.0063], p=0.0269, effect=-5.4%, N=1512 obs (128 repos) 
Supp smells/package ATT: beta=-0.0318, SE=0.0171, 95%CI=[-0.0653, 0.0018], p=0.0636, effect=-3.1%, N=1811 obs (151 repos) 
Sensitivity packages>=30 ATT: beta=-0.0590, SE=0.0216, 95%CI=[-0.1013, -0.0167], p=0.0063, effect=-5.7%, N=1271 obs (109 repos) 
Balanced ASD ATT: beta=-0.0469, SE=0.0139, 95%CI=[-0.0742, -0.0196], p=0.0007, effect=-4.6%, N=1811 obs (151 repos) 
Sensitivity kloc>=1 ATT: beta=-0.0791, SE=0.0188, 95%CI=[-0.1159, -0.0423], p=0.0000, effect=-7.6%, N=1752 obs (149 repos) 
Sensitivity excl. contaminated controls (N=144): beta=-0.0699, SE=0.0240, 95%CI=[-0.1170, -0.0227], p=0.0037, effect=-6.7%, N=1751 obs (144 repos) 
Sensitivity log(ASD) no +1 (N=148): beta=-0.1388, SE=0.0356, 95%CI=[-0.2086, -0.0691], p=0.0001, effect=-13.0%, N=1744 obs (148 repos) 
Module count ATT: beta=0.0929, SE=0.0432, 95%CI=[0.0081, 0.1777], p=0.0317, effect=9.7%, N=1811 obs (151 repos) 
LOC per package ATT: beta=0.0392, SE=0.0262, 95%CI=[-0.0121, 0.0905], p=0.1346, effect=4.0%, N=1811 obs (151 repos) 
Container-Only ASD (Borusyak): beta=-0.0305, SE=0.0171, 95%CI=[-0.0640, 0.0029], p=0.0736, effect=-3.0%, N=1811 obs (151 repos) 
Container-Only ASD (TWFE-SA): beta=-0.0213, SE=0.0101, 95%CI=[-0.0412, -0.0015], p=0.0940, effect=-2.1%, N=1811 obs (151 repos) 
Container-Only Raw Smells (Borusyak): beta=0.0429, SE=0.0395, 95%CI=[-0.0346, 0.1203], p=0.2779, effect=4.4%, N=1811 obs (151 repos) 
Container-Only LOC (Borusyak): beta=0.1201, SE=0.0401, 95%CI=[0.0415, 0.1986], p=0.0027, effect=12.8%, N=1811 obs (151 repos) 
